chengyu	pingyin	jieshi	chuchu	lizi
言者不知	yán zhě bù zhī	指多言多语的人缺乏智能。	《老子》知者不言，言者不知。”河上公注知者贵行不贵言也。驷不及舌，多言多患。”一本作言者弗知”。	～知者默，此语吾闻于老君。★唐·白居易《读〈老子〉》诗
言约旨远	yán yuē zhǐ yuǎn	言辞简练，含意深远。	《太平御览》卷六一七引晋·郭澄之《郭子》言各有隔而不通处，张忽遥于末坐判之，言约旨远，便足以畅彼我之怀。	全信～，博大精深，像一盏灿烂的明灯，照亮了诗歌和整个文艺创作发展的道路。《诗刊》1978年第4期
言类悬河	yán lèi xuán hé	形容能言善辩，说话滔滔不绝。	南朝·齐·王僧虔《诫子书》郭象言类悬河，不自劳苦，何由至此。	无
言简意赅	yán jiǎn yì gāi	赅完备。话不多，但意思都有了。形容说话写文章简明扼要。	无	我们作文应该言简意赅，不要拖泥带水。
言简意该	yán jiǎn yì gāi	形容说话写文章简明扼要。同言简意赅”。	清·崔述《读风偶识》卷一夫《论语》所载孔子论诗之言多矣，若《关雎》、《思无邪》章，诵《诗三百》以及《兴观群怨》、《周南》等章，莫不言简意该，义深词洁。	无
言简意深	yán jiǎn yì shēn	言辞简练，含意深刻。	清·赵翼《瓯北诗话·陆放翁诗》不在乎奇险诘曲，惊人耳目，而在乎言简意深，一语胜人千百。	词语虽然粗俗，笔气极其纵横，而且～，包括不遗。★《三侠五义》第四一回
言简意少	yán jiǎn yì shǎo	简简练。语言简洁，内容贫乏。	无	写文章要言简意赅，但并不是言简意少。
言简义丰	yán jiǎn yì fēng	语言简练，含意丰富。	元·德异《〈六祖大师法宝坛经〉序》夫《坛经》者，言简义丰，理明事备，具足诸佛无量法门。	无
言笑自若	yán xiào zì ruò	谈笑如常，十分镇定。	《三国志·蜀志·关羽传》时羽适请诸将饮食相对，臂血流离，盈于盘器，而羽割灸引酒，言笑自若。”宋·欧阳修《泷冈阡表》其后修贬夷陵，太夫人言笑自若。	祭毕，即除去孝服，沐浴薰香，浓妆艳裹，～。★明·罗贯中《三国演义》第三十八回
言笑自如	yán xiào zì rú	谈笑如常，十分镇定。	清·方苞《通议大夫江南布政使陈介墓志铭》群夷纵火，牛街镇去城三十馀里，火光烛天。公言笑自如，日夜为守战计，贼不敢逼。	无
言笑晏晏	yán xiào yàn yàn	说说笑笑，和柔温顺。	《诗·卫风·氓》总角之宴，言笑晏晏。”毛传晏晏，和柔也。	复有公子女郎共十数辈，青衣黄头亦十数人，步月徐来，～。★唐·任蕃《梦游录·独孤遐叔》
言笑不苟	yán xiào bù gǒu	不随便谈笑。形容态度严肃庄重。同不苟言笑”。	《二刻拍案惊奇》卷二妙观变以师道自尊，妆模做样，尽自矜持，言笑不苟。	又闻美国学童，跬步必肃，～。★梁启超《变法通议·论幼学》
言犹在耳	yán yóu zài ěr	犹还。说的话还在耳边。比喻说的话还清楚地记得。	《左传·文公七年》今君虽终，言犹在耳。	～，忠岂忘心。★唐·骆宾王《代李敬业传檄天下文》
言清行浊	yán qīng xíng zhuó	清清高；浊浑浊，指低下。说的是清白好话，十的是污浊坏事。形容人言行不一。	唐·李虚中《命书》卷中言轻行浊，执不通变。	余观世人恒无真志，要不过落在委靡浑浊之中，是故口是心非，～。★明·李贽《焚书·书答·失言三首》
言气卑弱	yan qi bei ruo	说话的态度谦虚温顺。	无	无
言来语去	yán lái yǔ qù	指谈笑时你一言我一语，彼此应对。	元·曾瑞《留鞋记》第一折他把娇胭腻粉频交易，与我言来语去相调戏。	～闲谈笑，二更鼓罢又三更。★《天雨花》第二六回
言有尽而意无穷	yán yǒu jìn ér yì wú qióng	指诗文含义深刻，令人品味不尽。	宋·严羽《沧浪诗话·诗辨》盛唐诸人惟在兴趣，羚羊挂角，无迹可求。故其妙处，透彻玲珑，不可凑泊，如空中之音，相中之色，水中之月，镜中之象，言有尽而意无穷。	无
言是人非	yán shì rén fēi	指言论无可非议，但为人不可取。	明·李贽《史纲评要·宋纪·太祖》徐铉、张洎言是人非。	无
言无伦次	yán wú lún cì	语言杂乱无章。	明·李开先《亡妻张宜人散传》言无伦次，事无统纪。”参见语无伦次”。	无
言无二价	yán wú èr jià	货物的价钱说一不二。	《后汉书·逸民传·韩康》常采药名山，卖于长安市，口不二价，三十余年。	无
言无不尽	yán wú bù jìn	把内心的话说尽，毫不保留。	《北齐书·高德政传》德政与帝旧相昵爱，言无不尽。	故情无不通，～。★宋·司马光《乞改求谏诏书札子》
言方行圆	yán fāng xíng yuán	指言论正直而行为圆滑。	汉·王符《潜夫论·交际》凡今之人，言方行圆，口正心邪。	无
言文行远	yán wén xíng yuǎn	言辞有文采，才能传播远方或影响后世。	明·张溥《〈壬申文选〉序》言文行远，国家赖之。”参见言而无文，行之不远”。	无
言提其耳	yán tí qí ěr	揪着他耳朵。指恳切地教诲。言，助词。	《诗·大雅·抑》匪面命之，言提其耳。”郑玄笺我非但对面语之，亲提其耳。此言以教道之，孰不可启觉。	故丁宁周至，～，每事指斥，不尚浮辞。★北魏·贾思勰《〈齐民要术〉序》
言扬行举	yán yáng xíng jǔ	根据德行和名声来选择人才。	《礼记·文王世子》凡语于郊者必取贤敛才焉，或以德进，或以事举，或以言扬。	无
言必有物	yán bì yǒu wù	指言论或文章内容充实。	清·方苞《进〈四书〉〈文选〉表》故凡所录取，皆以发明义理，清真古雅，言必有物为宗。	无
言必有据	yán bì yǒu jù	言说话；据依据。说话一定要有根据。	鲁迅《序言》对于历史小说，则以为博考文献，言必有据者，纵使有人讥为'教授小说'，其实是很难组织之作。	无
言必有中	yán bì yǒu zhòng	中正对上。指一说话就能说到点子上。	《论语·先进》夫人不言，言必有中。	无
言必信，行必果	yán bì xìn，xíng bì guǒ	信守信用；果果断，坚决。说了就一定守信用，做事一定办到。	《论语·子路》言必信，行必果，硁硁然小人哉。	我们中国人说话是算数的，从来是～。
言归正传	yán guī zhèng zhuàn	正传正题或本题。指话头转回到正题上来。旧小说中常用的套语。	清·文康《儿女英雄传》第二十三回如今说书的‘从旁指点桃源路，引得渔郎来问津’，算通前彻后交待明白了，然后这再言归正传。	现在我们～，集中讨论这件事，发言要围绕中心。
言归和好	yán guī hé hǎo	指彼此重新和好。同言归于好”。	《清史稿·世祖纪一》昔之疆场用兵，本冀言归和好。不幸寇凶极祸，明祚永终。	无
言归于好	yán guī yú hǎo	言句首助词，无义。指彼此重新和好。	《左传·僖公九年》凡我同盟之人，既盟之后，言归于好。	奉教撤兵，～。★明·冯梦龙《东周列国志》第五回
言寡尤，行寡悔	yán guǎ yóu，xíng guǎ huǐ	指说话做事很少犯错误。	《论语·为政》言寡尤，行寡悔，禄在其中矣。	无
言多必失	yán duō bì shī	话说多了一定有失误。	《鬼谷子·本经符》言多必有数短之处。	无
言多伤行	yán duō shāng xíng	话多易出问题，以致言行不一，使品行受损害。	元·关汉卿《金钱池》第三折不是我把不定，无记性，言多伤行。	无
言多伤幸	yán duō shāng xìng	话多易出问题，以致言行不一，使品行受损害。同言多伤行”。	元·石德玉《紫云庭》第一折他那里问言多伤幸，絮得些家宅神长是不安宁。	无
言多伤倖	yán duō shāng xìng	话多易出问题，以致言行不一，使品行受损害。同言多伤行”。	无	无
言外之意	yán wài zhī yì	指有这个意思，但没有在话里明说出来。	宋·欧阳修《六一诗话》必能状难写之景，如在目前，含不尽之意，见于言外，然后为至矣。”宋·叶梦得《石林诗话》七言难于气象雄浑，句中有力而纡余，不失言外之意。	间有一二不尽之言，～，以少少许胜多多许者，是他一枝一节好处。★清·郑燮《潍县署中与舍弟第五书》
言外之味	yán wài zhī wèi	语言中含而不露的深长意味。	王国维《人间词话》二二古今词人格调之高无如白石。惜不于意境上用力，故觉无言外之味，弦外之响，终落第二手。	无
言和意顺	yán hé yì shùn	言语和顺，情意相谐。	清·曹雪芹《红楼梦》第五回真是言和意顺，似漆如胶。”又第九十八回但愿他们两口儿言和意顺，从此老太太也省好些心。	无
言听谋决	yán tīng móu jué	指说的话听从照办，出的主意决定实行。	清·昭槤《啸亭杂录·朱白泉狱中上百朱二公书》绎堂制府以为能，言听谋决。	无
言听计行	yán tīng jì xíng	形容对某人十分信任。同言听计从”。	《新唐书·魏知古卢怀慎传赞》观玄宗开元时，厉精求治，元老魁旧，动所尊惮，故姚元崇、宋瓃言听计行，力不难而功已成。	无
言听计用	yán tīng jì yòng	形容对某人十分信任。同言听计从”。	《史记·淮阴侯列传》汉王授我上将军印，予我数万众，解衣衣我，推食食我，言听计用，故吾得以至于此。	多蒙丞相顾爱，累授迁除，～。★明·无名氏《五马破曹》楔子
言听计从	yán tīng jì cóng	听听从。什么话都听从，什么主意都采纳。形容对某人十分信任。	《史记·淮阴侯列传》汉王授我上将军印，予我数万众，解衣衣我，推食食我，言听计用，故吾得以至于此。	邓对于他也就和刘玄德之于诸葛孔明，几几乎是～的。★郭沫若《革命春秋·北伐途次》二十六
言听行从	yán tīng xíng cóng	指说话、做事有人听从。形容威望很高。	《鹖冠子·道端》圣人之功，定制于冥冥，求至欲得，言听行从，近亲远附，明达四通。	无
言听事行	yán tīng shì xíng	指说话能听从，事情能执行。	《韩非子·说疑》言听事行，则如师徒之势。	无
言发祸随	yán fā huò suí	话一出口，祸患随之而来。同言出祸从”。	唐·陆贽《谢密旨因论所宣事状》其如言发祸随，求之以情既无端，验之以迹又无兆，宜蒙昭恕，理在不疑。	无
言十妄九	yán shí wàng jiǔ	形容说话虚妄不实。	元·尚仲贤《气英布》第三折咱则道舌刺刺言十妄九，村棒棒呼幺喝六。	无
言出祸随	yán chū huò suí	话一出口，祸患随之而来。同言出祸从”。	《明史·邹智传》吾非不欲言，言出则祸随，其谁吾听？	无
言出祸从	yán chū huò cóng	话一出口，祸患随之而来。	《后汉书·宦者传论》虽忠良怀愤，时或愤发，而言出祸从，旋见拏戮。	无
言出法随	yán chū fǎ suí	言这里指法令或命令；法法律。话一说出口，法律就跟在后面。指法令一经公布就严格执行，如有违犯就依法处理。	毛泽东《陕甘宁边区政府、第八路军后方留守处布告》倘有不法之徒，胆敢阴谋捣乱，本府本处言出法随，勿谓言之不预。	无
言信行果	yán xìn xíng guǒ	说了就一定守信用，做事一定办到。同言必信，行必果。”	梁启超《近世第一大哲康德之学说·发端及其略传》正直谨严，言信行果。	无
言传身教	yán chuán shēn jiào	言传用言语讲解、传授；身教以行动示范。既用言语来教导，又用行动来示范。指行动起模范作用。	《庄子·天道》语之所贵者意也，意有所随。意之所随者，不可以言传也。	无
言从计行	yán cóng jì xíng	形容对某人十分信任。同言行计从”。	《新唐书·李德裕传》武宗知而能任之，言从计行。	李德裕相武宗，～。★宋·洪迈《容斋五笔·李德裕论命令》
言从计纳	yán cóng jì nà	讲的话、出的主意，都听从采纳。	汉·蔡邕《司空临晋侯杨公碑》及其所以匡辅本朝，忠言嘉谋，造膝危辞，当事而行，言从计纳。	无
言从计听	yán cóng jì tīng	形容对某人十分信任。同言听计从”。	清·洪昻《长生殿·贿权》便道我言从计听微有权，这就里机关不易言。	无
言人人殊	yán rén rén shū	殊不同。说的话个个不同。指各人有各人的意见。	《史记·曹相国世家》尽召长老诸生，问所以安集百姓，如齐故诸儒以百数，言人人殊。参未知所定。	然此辈执术疏，谋生急，信口欺诈，～，甚至徒毁其师，子讥其父，各持己见，彼此相非。★清·黄钧宰《金壶七墨·堪舆》
言之过甚	yán zhī guò shèn	话说得太过头了。	茅盾《追求》四自然外边人是言之过甚。但是，空穴来风，仲翁，你也是太登多了。以后总得注意。	无
言之谆谆，听之藐藐	yán zhī zhūn zhūn，tīng zhī miǎo miǎo	说的人很诚恳，听的人却不放在心上。	《诗经·大雅·抑》诲而谆谆，听我藐藐。	无
言之有礼	yán zhī yǒu lǐ	说的话有道理。	无	无
言之有理	yán zhī yǒu lǐ	说的话有道理。	明·吴承恩《西游记》第四十八回陈老道‘言之有理。’	无
言之有物	yán zhī yǒu wù	物内容。文章或讲话有具体内容。	《周易·家人》君子以言有物而行有恒。	惟首两句笼罩全篇，末句总结大意，不必～。★清·曾朴《孽海花》第二十回
言之有故	yán zhī yǒu gù	所说的话有根据。同言之成理”。	清·魏源《默觚下·治篇六》其言之有故，其持之成理，上傅会乎经义，使人主中其腊毒而不自知，君子所深恶也。	无
言之有序	yán zhī yǒu xù	说话和写文章很有条理。	《周易·艮》言有序，悔亡。	这篇文章～。
言之无物	yán zhī wú wù	指文章或言论空空洞洞，没有实际内容。	毛泽东《反对党八股》空话连篇言之无物的演说，是必须停止的。	无
言之无文，行而不远	yán zhī wú wén，xíng ér bù yuǎn	文章没有文采，就不能流传很远。	《左传·襄公二十年》仲尼曰‘志有之，言以足志，文以足言。不言谁知其志？言而无文，行而不远。’	无
言之无文，行之不远	yán zhī wú wén，xíng zhī bù yuǎn	说话没有文采，就传播不远。亦作言之无文，行而不远”、言之不文，行之不远”。	《左传·襄公二十五年》仲尼曰‘《志》有之言以足志，文以足言。”不言，谁知其志？言之无文，行而不远。’	今人徙知‘～’，而不知言之无物，又何用文为乎？★胡適《文学改良刍议》
言之成理	yán zhī chéng lǐ	之代词，指所说的话。话说得有一定道理。	《荀子·非十二子》然而其持之有故，其言之成理，足以欺惑愚众。	虽然仁人们未必肯用，但我还可以～。★鲁迅《论费厄泼赖”应该缓行》
言之凿凿	yán zhī záo záo	凿凿确实。形容说得非常确实。	清·蒲松龄《聊斋志异·段氏》言之凿凿，确可信据。	无
言之不预	yán zhī bù yù	没有预先说明。	毛泽东《新民主主义论》七这是我们共产党人的衷心劝告，‘勿谓言之不预也’。	否则同人当以非常手段对付，勿谓～也。★巴金《寒夜》二八
言之不文，行之不远	yán zhī bù wén，xíng zhī bù yuǎn	文章没有文采，就不能流传很远。同言之无文，行而不远”。	宋·陆游《严州到任谢王丞相启》黼黻圣猷，谓言之不文则行之不远；甄陶士类，每舍其所短而取其所长。	无
言为心声	yán wéi xīn shēng	言语是思想的反映，从一个人的话里可以知道他的思想感情。	汉·扬雄《法言·问神》故言，心声也；书，心画也。声画形，君子小人见矣。	～，从一个人平时的言谈之中，就可以了解他的思想状况。
言中事隐	yán zhōng shì yǐn	指言语虽然委曲却中正不偏，论事虽然放纵却隐藏着精深的道理。	语出《易·系辞下》其言曲而中，其事肆而隐。	无
言与心违	yán yǔ xīn wéi	言语与心意相违背。	《吴子·图国》臣以见占隐，以往察来，主君何言与心违？	苟非其人，必将有～之病。★清·阎尔梅《〈泊水斋诗〉序》
言不顾行	yán bù gù xíng	说话与行事不相符合。	《孟子·尽心下》言不顾行，行不顾言。	但无论怎样，由这儿又可以看出，申子这个人是怎样的～。★郭沫若《十批判书·前期法家的批判》
言不逮意	yán bù dǎi yì	说的话不能准确地表达思想内容。同言不达意”。	宋·程颐《与吕大临论中书》窃恐辞命不明，言不逮意，致高明或未深喻，辄露所见，求益左右。	无
言不达意	yán bù dá yì	说的话不能准确地表达思想内容。亦作言不逮意”。	《明史·广西土司传二·思明》以译者言不达意，复为书晓之。	无
言不由衷	yán bù yóu zhōng	由从；衷内心。话不是打心眼里说出来的，即说的不是真心话。指心口不一致。	《左传·隐公三年》 信不由中，质无益也。”杨伯峻注人言为信，中同衷。	旋复下一通令，洋洋洒洒，约一二千言，小子因他～，不愿详录。★蔡东藩、许廑父《民国通俗演义》第二十八回
言不由中	yán bù yóu zhōng	指心口不一致。同言不由衷”。	清·蒲松龄《聊斋志异·贾奉雉》实相告此言不由中，转瞬即去，便受夏楚，不能复忆之也。	无
言不尽意	yán bù jìn yì	情意曲折深远，言语难以全部表达。常用于书信末尾，表示说的话没能把意思都表达出来。	《易·系辞上》书不尽言，言不尽意。	病中作词一阙，调寄《菩萨蛮》，奉上文郎云杰翰座，谨望挽回春色。词不尽言，～。★元·贾仲名《萧淑兰》第三折
言不及行	yán bù jí xíng	指言行不一。	明·薛瑄《薛子道论》言不及行，可耻之甚，非特发于口谓之言，凡著于文词者皆是也。	无
言不及义	yán bù jí yì	及涉及；义正经的道理。指净说些无聊的话，没有一句正经的。	《论语·魏灵公》群居终日，言不及义，好行小慧，难矣哉！	真所谓～”，那里有好事情串出来。★清·吴趼人《二十年目睹之怪现状》第一百四回
言不二价	yán bù èr jià	货物的价钱说一不二。同言无二价”。	艾芜《人生哲学的一课》货在商人店里，贵得如同宝贝，真是言不二价的。	无
言三语四	yán sān yǔ sì	言、语说、讲。形容人多嘴杂，议论纷纷。	元·武汉臣《玉壶春》第三折小生欲待要不去，悬心挂意，怎生撇得？欲待要去呵，又惹的人言三语四，使人惶恐，好两难也呵！	无
触类而长	chù lèi ér cháng	意指掌握一类事物知识或规律，就能据此而增长同类事物知识。	语出《易·系辞上》引而伸之，触类而长之，天下之能事毕矣。”孔颖达疏谓触逢事类而增长之。	其余～，所致非一，同归殊途，或文或质。★三国·魏·嵇康《琴赋》
触类而通	chù lèi ér tōng	指掌握了某一事物的知识或规律，进而推知同类事物的知识或规律。	《说郛》卷七七引宋·李之彦《东谷所见·寿福德》人之念虑一正，则万善可触类而通；行一善，则万善皆萌蘖于此。	而夫子作大象，多于卦爻之辞之外，别起一义以示学者，使之～，此即举隅之说也。★清·顾炎武《与友人论书》之一
触类旁通	chù lèi páng tōng	触类接触某一方面的事物；旁通相互贯通。掌握了某一事物的知识或规律，进而推知同类事物的知识或规律。	《周易·系辞上》引而伸之，触类而长之，天下之能事毕矣。	我真高兴，得着两个新鲜的意思，让我对于生活的方法，能～的思索一回。★朱自清《海阔天空”与古今中外”》
触石决木	chù shí jué mù	比喻莽撞蛮干。	汉·扬雄《太玄·难》次八，触石决木，维折角。测曰触石决木，非所治也。”范望注以弱治刚，故非所任也。	无
触目警心	chù mù jǐng xīn	看到某种情况，心中引起警觉。	清·王夫之《读四书大全说·大学·传第六章一》如为子而必诚于孝，触目警心，自有许多痛痒相关处。	贵友既著有《醒迷文》，俟寄到时明岁开设学堂，可钞贴各乡镇讲堂，以便教习随时讲解，俾学生～。★《扫为帚》第二四回
触目经心	chù mù jīng xīn	见到而萦烦于心。	明·何大复《感春》诗风光物色元非恶，触目经心偏苦情。	无
触目皆是	chù mù jiē shì	触目接触到视线。眼睛所看到的地方，到处都是。	唐·朱敬则《五等论》故魏太祖曰‘若使无孤，天下几人称帝，几人称王！’明窃号议者触目皆是。	北京真是人海，情形可大不相同了，单是羊肉铺就～。★鲁迅《华盖集续编·一点比喻》
触目成诵	chù mù chéng sòng	成诵能背诵。看上一眼就能背下来。形容记忆力强。	唐·姚思廉《陈书·陆瑜传》论其博综子史，谙究儒墨，经耳无遗，触目成诵。	无
触目惊心	chù mù jīng xīn	看见某种严重情况，心里感到震惊。	唐·韩愈《昌黎集·贞曜先生墓志铭》及其为诗，刿目怵心。	又因他姓赤，惟恐厕内倘有赤痢血痔之类，也好教他～，时常打扫因此把他派了。★清·李汝珍《镜花缘》第九十九回
触目恸心	chù mù tòng xīn	恸极悲哀；大哭。看到眼前景物而引起内心悲伤。	南朝·梁武帝《追赠张弘籍诏》朕少离苦辛，情地弥切，虽宅相克成，辂车靡赠，兴言永往，触目恸心。	无
触目崩心	chù mù bēng xīn	看到某种情况而心中极度悲伤。	《南齐书·豫章文献王嶷传》缅寻遗烈，触目崩心。	且年光遒尽，～。扶力含毫，诸不申具。★南朝·陈·徐陵《答李飆之书》
触目如故	chù mù rú gù	触目目光所及。故旧的，过去的，本来的。满眼看到的都是过去的老样子。	宋·李昌令《乐善录·洪州刘生》未周岁，公主忽告殂，国主不胜其哀，怒曰‘吾不敢复见刘生，其官物不一与，遣归洪州。’生恍疑梦觉，触目如故。	无
触目兴叹	chù mù xīng tàn	看到某种情况而引起感叹。	明·李贽《焚书·杂述·杂说》一旦见景生情，触目兴叹。	无
触目儆心	chù mù jǐng xīn	看到某种情况而引为儆戒。	清·林则徐《拿获行动盗犯袁溃等审明定拟折》并将各犯首级在于上下游干革命枭示，俾各触目儆心。	无
触目伤怀	chù mù shāng huái	看到某种情况而内心伤悲。	朱自清《背影》那知老境却如此颓唐！他触目伤怀，自然不能自己。	无
触目伤心	chù mù shāng xīn	看到某种情况而内心伤悲。	清·宣鼎《夜雨秋灯录·阮封翁》赤贫者无力赁屋，男妇老幼皆露处■澍雨滂沱，立泥淖中，相向而哭。翁触目伤心，计极穷人不过百十，费无多，思有以援之。	平日这灯下，便是我们的天堂；今日却成了地狱了，没有一个地方一件事情，不是使我～的。★冰心《集外·庄鸿的姊姊》
触物兴怀	chù wù xīng huái	受到眼前景物的触动而产生某种情怀。	明·李诩《戒庵老人漫笔·月泉吟社》触物兴怀言不尽，春来非是爱吟诗。	无
触物伤情	chù wù shāng qíng	触触动，感动。看到某一景物内心感到悲伤。	晋·张载《七哀诗二首》哀人易感伤，触物增悲心。	惟有黛玉看见他家乡之物，反自～。★清·曹雪芹《红楼梦》第67回
触机便发	chù jī biàn fā	机弓弩上的发箭器。原指弓弩上的发箭器，一经触发，箭便射出◇亦指人遇到机会便要发作。	《旧唐书·韦思谦传》吾狂鄙之性，假以雄权，触机便发，固宜为身灾也。	无
触景生情	chù jǐng shēng qíng	受到眼前景物的触动，引起联想，产生某种感情。	元·无名氏《闺怨》曲风，吹灭残灯，不由的见景生情，伤心。	人在～的时候，能联想起很多往事。
触景伤情	chù jǐng shāng qíng	被眼前的景物所触动而引起伤感。伤悲哀。	《初刻拍案惊奇》卷二五一路上鸟啼花落，触景伤情。	无
触景伤怀	chù jǐng shāng huái	被眼前的景物所触动而引起伤感。	《初刻拍案惊奇》卷十六夜来皓魄当空，澄波万里，上下一碧，灿若独自无聊，触景伤怀，遂尔口占一曲。	现在旧地重游，怎么能不～！★谷风《加勒比海上的黄昏》
触景伤心	chù jǐng shāng xīn	被眼前的景物所触动而引起伤感。	《吴歌甲集·茅舍萧萧傍竹篱》茅舍萧萧傍竹篱，西风惨淡雨霏霏，其时黄菊花初放，触景伤心最惨凄。	无
触斗蛮争	chù dòu mán zhēng	触和蛮，《庄子》寓言中蜗牛角上两个小国。见《庄子·则阳》◇以之比喻为私利而争斗。	清·尤侗《注云飞·十空曲》竖子英雄，触斗蛮争蜗角中。	～，由造物主观之，不值一笑。★清·王韬《答强弱论》
触手生春	chù shǒu shēng chūn	一动手就转成了春天，富有生机。形容技术高明神奇。	清·赵翼《瓯北诗话·李青莲诗》；然以杜韩与之比较，一则用力而不免痕迹，一则不用力而触手生春此仙与人之别也。	无
触手可及	chù shǒu kě jí	近在手边，一伸手就可以接触到。	无	这东西就在你身边，你触手可及就可以拿到。
触处机来	chù chǔ jī lái	指触及某一事物而生出机悟。	《红楼梦》第一一六回众人都见他忽笑悲，也不解是何意，只道是他的旧病；岂知宝玉触处机来，竟能把偷看册上的诗句牢牢记住了。	无
触地号天	chù dì hào tiān	呼天抢地。形容悲痛之极。	明·张敬修等《文忠公行实》既出，遂触地号天，几不可生。	无
觥饭不及壶飧	gōng fàn bù jí hú sūn	丰盛的酒肴没有准备好，不如一壶水泡饭可以解除饥饿。比喻事情很急，不能等待。	《国语·越语下》觥饭不及壶飧。今岁晚矣，子将奈何？	无
觥筹交错	gōng chóu jiāo cuò	觥古代的一种酒器；筹行酒令的筹码。酒杯和酒筹杂乱地放着。形容许多人聚会喝酒时的热闹场景。	宋·欧阳修《醉翁亭记》射者中，奕者胜，觥筹交错，坐起而喧哗者，众宾欢也。	余大先生抬头看尊经阁上绣衣朱履，～。★清·吴敬梓《儒林外史》第四十七回
解黏去缚	jiě nián qù fù	解除粘着和束缚。	无	无
解骖推食	jiě cān tuī shí	骖古代驾在车前两侧的马。解下驾在车前两侧的马匹，换取食物送给急需的人。指以自己的财物解救他人之急。	无	无
解铃须用系铃人	jiě líng xū yòng xì líng rén	比喻由谁引起的麻烦，仍由谁去解决。同解铃还须系铃人”。	无	无
解铃还须系铃人	jiě líng hái xū xì líng rén	比喻由谁引起的麻烦，仍由谁去解决。	宋·惠洪《林间集》卷下载法灯泰钦禅师少解悟，然未为人知，独法眼禅师深奇之。一日法眼问大众曰虎项下金铃，何人解得？”众无以对。泰钦适至，法眼举前语问之，泰钦曰大众何不道‘系者解得。’”由是人人刮目相看。	常言道～。当初是他两个说他进去，如今依先要这两个说他出来。★明·王錂《春芜记·忤奸》
解铃还需系铃人	jiě líng hái xū jì líng rén	比喻谁惹出来的麻烦，还得由谁去解决。	明·瞿汝稷《指月录》卷二十三金陵清凉泰钦禅师，性豪逸，众易之，法眼独契重。一日眼问众‘虎项金铃，是谁解得？’众无对，师适至，眼举前语问，对曰‘系者解得。'	～”，所以这回伏园回来，我仍要他将事情弄清楚。★鲁迅《两地书·六十九》
解铃还是系铃人	jiě líng hái shì xì líng rén	比喻由谁引起的麻烦，仍由谁去解决。同解铃还须系铃人”。	无	无
解铃系铃	jiě líng jì líng	比喻谁惹出来的麻烦，还得由谁去解决。	明·瞿汝稷《指月录》卷二十三金陵清凉泰钦禅师，性豪逸，众易之，法眼独契重。一日眼问众‘虎项金铃，是谁解得？’众无对，师适至，眼举前语问，对曰‘系者解得。'	我不妨和他见了面，窥察他的神气语意，如果事由他起，则系铃解铃，原须一人。★清·颐琐《黄绣球》第五回
解衣衣人	jiè yī yī rén	脱下衣服给别人穿。	《史记·淮阴侯列传》汉王授我上将军印，予我数万众，解衣衣我，推食食我。	无
解衣般礴	jiě yī bān bó	脱衣箕坐。指神闲意定，不拘形迹◇亦指行为随便，不受拘束。	无	无
解衣磅礴	jiě yī páng bó	指神闲意定，不拘形迹◇亦指行为随便，不受拘束。同解衣般礴”。	无	无
解衣盘礴	jiě yī pán bó	指神闲意定，不拘形迹◇亦指行为随便，不受拘束。同解衣般礴”。	无	无
解衣盘磅	jiě yī pán páng	指神闲意定，不拘形迹◇亦指行为随便，不受拘束。同解衣般礴”。	无	无
解衣槃磅	jiě yī pán páng	指神闲意定，不拘形迹◇亦指行为随便，不受拘束。同解衣般礴”。	无	无
解衣推食	jiě yī tuī shí	推让。把穿着的衣服脱下给别人穿，把正在吃的食物让别人吃。形容对人热情关怀。	《史记·淮阴侯列传》汉王授我上将军印，予我数万众，解衣衣我，推食食我。	小生飘蓬浪迹，幸蒙令尊一见如故，～，恩已过甚。★明·凌濛初《二刻拍案惊奇》卷十一
解衣抱火	jiě yī bào huǒ	比喻不解决问题，只招致危险。同解衣包火”。	《资治通鉴·晋安帝义熙十三年》关中华戎杂错，风俗劲悍；裕欲以荆扬之化，施之函秦，此无异解衣包火，张罗捕虎。”清·唐训方《里语征实》卷下引作解衣抱火”。	无
解衣卸甲	jiě yī xiè jiǎ	解脱衣；卸卸掉。脱下战衣，卸掉灰甲。比喻不再作战。	明·无名氏《杏林庄》第一折他若是解衣卸甲顺天朝，班中封位爵。	无
解衣包火	jiě yī bāo huǒ	比喻不解决问题，只招致危险。	《资治通鉴·晋安帝义熙十三年》关中华戎杂错，风俗劲悍；裕欲以荆扬之化，施之函秦，此无异解衣包火，张罗捕虎。	无
解纷排难	jiě fēn pái nán	指为人调解纠纷或排除危难。	无	无
解疑释惑	jiě yí shì huò	解解释；释消除。解答疑难问题，消除困惑情绪。	汉·孔融《荐祢衡表》使衡立朝，必有可观。飞辩骋辞，溢气坌涌，解疑释结，临敌有余。	无
解甲投戈	jiě jiǎ tóu gē	卸下盔甲，放下武器。比喻不再战斗。	汉·扬雄《解嘲》叔孙通起于枹鼓之间，解甲投戈，遂作君臣之仪，得也。	无
解甲归田	jiě jiǎ guī tián	解脱下；甲古代将士打仗时穿的战服。脱下军装，回家种地。指战士退伍还乡。	高阳《清宫外史》上册同时有些宿将，解甲归田以后，大起园林，广置姬妾，正在享福。	无
解甲倒戈	jiě jiǎ dǎo gē	指敌方战士归顺，转向攻击。	无	无
解甲休士	jiě jiǎ xiū shì	卸下盔甲让士兵休息。指不再战斗。	无	无
解甲休兵	jiě jiǎ xiū bīng	指不再战斗。同解甲休士”。	无	无
